consistent, condition, timestep, subject, correct, which
0, bbaaabbaaabbaaa, 4, 14, 0, 0
0, abaabaaabaaaaba, 4, 14, 1, 1
0, bbaaabbaaabbaaa, 5, 14, 0, 0
0, abaabaaabaaaaba, 5, 14, 1, 1
0, bbaaabbaaabbaaa, 6, 14, 1, 0
0, abaabaaabaaaaba, 6, 14, 1, 1
0, bbaaabbaaabbaaa, 7, 14, 0, 0
0, abaabaaabaaaaba, 7, 14, 1, 1
0, bbaaabbaaabbaaa, 8, 14, 1, 0
0, abaabaaabaaaaba, 8, 14, 1, 1
0, bbaaabbaaabbaaa, 9, 14, 1, 0
0, abaabaaabaaaaba, 9, 14, 1, 1
0, bbaaabbaaabbaaa, 10, 14, 1, 0
0, abaabaaabaaaaba, 10, 14, 1, 1
0, bbaaabbaaabbaaa, 11, 14, 1, 0
0, abaabaaabaaaaba, 11, 14, 1, 1
0, bbaaabbaaabbaaa, 12, 14, 1, 0
0, abaabaaabaaaaba, 12, 14, 1, 1
0, bbaaabbaaabbaaa, 13, 14, 1, 0
0, abaabaaabaaaaba, 13, 14, 1, 1
0, bbaaabbaaabbaaa, 14, 14, 1, 0
0, abaabaaabaaaaba, 14, 14, 1, 1
0, bbaaabbaaabbaaa, 0, 15, 1, 0
0, abaabaaabaaaaba, 0, 15, 0, 1
0, bbaaabbaaabbaaa, 1, 15, 1, 0
0, abaabaaabaaaaba, 1, 15, 0, 1
0, bbaaabbaaabbaaa, 2, 15, 1, 0
0, abaabaaabaaaaba, 2, 15, 1, 1
0, bbaaabbaaabbaaa, 3, 15, 0, 0
0, abaabaaabaaaaba, 3, 15, 0, 1
0, bbaaabbaaabbaaa, 4, 15, 0, 0
0, abaabaaabaaaaba, 4, 15, 0, 1
0, bbaaabbaaabbaaa, 5, 15, 1, 0
0, abaabaaabaaaaba, 5, 15, 1, 1
0, bbaaabbaaabbaaa, 6, 15, 1, 0
0, abaabaaabaaaaba, 6, 15, 0, 1
0, bbaaabbaaabbaaa, 7, 15, 1, 0
0, abaabaaabaaaaba, 7, 15, 0, 1
0, bbaaabbaaabbaaa, 8, 15, 1, 0
0, abaabaaabaaaaba, 8, 15, 1, 1
0, bbaaabbaaabbaaa, 9, 15, 1, 0
0, abaabaaabaaaaba, 9, 15, 1, 1
0, bbaaabbaaabbaaa, 10, 15, 1, 0
0, abaabaaabaaaaba, 10, 15, 1, 1
0, bbaaabbaaabbaaa, 11, 15, 1, 0
0, abaabaaabaaaaba, 11, 15, 0, 1
0, bbaaabbaaabbaaa, 12, 15, 1, 0
0, abaabaaabaaaaba, 12, 15, 0, 1
0, bbaaabbaaabbaaa, 13, 15, 1, 0
0, abaabaaabaaaaba, 13, 15, 1, 1
0, bbaaabbaaabbaaa, 14, 15, 1, 0
0, abaabaaabaaaaba, 14, 15, 1, 1
0, bbaaabbaaabbaaa, 0, 16, 1, 0
0, abaabaaabaaaaba, 0, 16, 0, 1
0, bbaaabbaaabbaaa, 1, 16, 1, 0
0, abaabaaabaaaaba, 1, 16, 1, 1
0, bbaaabbaaabbaaa, 2, 16, 0, 0
